micros	tikcs
6443524	-974
6444712	-974
6445904	-975
6447092	-976
6448284	-977
6449472	-978
6450664	-978
6451852	-979
6453044	-980
6454232	-981
6455424	-982
6456612	-982
6457804	-983
6458992	-984
6460184	-985
6461372	-985
6462564	-986
6463752	-987
6464944	-988
6466132	-989
6467324	-989
6468512	-990
6469708	-991
6470892	-992
6472084	-993
6473272	-993
6474464	-994
6475652	-995
6476844	-996
6478032	-996
6479224	-997
6480412	-998
6481604	-999
6482792	-999
6483988	-1000
6485256	-1001
6486532	-1002
6487808	-1003
6489084	-1004
6490356	-1004
6491632	-1005
6492908	-1006
6494184	-1007
6495456	-1008
6496732	-1008
6498008	-1009
6499284	-1010
6500556	-1011
6501832	-1012
6503108	-1012
6504384	-1013
6505656	-1014
6506932	-1015
6508208	-1016
6509484	-1017
6510756	-1017
6512032	-1018
6513308	-1019
6514584	-1020
6515856	-1021
6517132	-1021
6518408	-1022
6519684	-1023
6520956	-1024
6522232	-1025
6523508	-1025
6524784	-1026
6526056	-1027
6527332	-1028
6528608	-1029
6529884	-1029
6531156	-1030
6532432	-1031
6533708	-1032
6534984	-1033
6536256	-1033
6537532	-1034
6538808	-1035
6540084	-1036
6541356	-1037
6542632	-1038
6543908	-1038
6545184	-1039
6546460	-1040
6547732	-1041
6549008	-1042
6550284	-1042
6551564	-1043
6552832	-1044
6554108	-1045
6555384	-1046
6556656	-1046
6557932	-1047
6559208	-1048
6560484	-1049
6561756	-1049
6563032	-1050
6564308	-1051
6565584	-1052
6566860	-1053
6568132	-1053
6569408	-1054
6570684	-1055
6571956	-1056
6573232	-1057
6574508	-1057
6575784	-1058
6577056	-1059
6578332	-1060
6579608	-1061
6580884	-1061
6582156	-1062
6583432	-1063
6584708	-1064
6585984	-1065
6587256	-1065
6588532	-1066
6589808	-1067
6591084	-1068
6592356	-1069
6593632	-1069
6594908	-1070
6596184	-1071
6597460	-1072
6598732	-1073
6600008	-1073
6601284	-1074
6602556	-1075
6603832	-1076
6605108	-1077
6606384	-1077
6607656	-1078
6608932	-1079
6610208	-1080
6611484	-1081
6612756	-1081
6614036	-1082
6615308	-1083
6616584	-1084
6617856	-1084
6619132	-1085
6620408	-1086
6621684	-1087
6622956	-1088
6624232	-1088
6625508	-1089
6626784	-1090
6628056	-1091
6629332	-1092
6630608	-1092
6631884	-1093
6633156	-1094
6634432	-1095
6635708	-1096
6636984	-1096
6638256	-1097
6639532	-1098
6640808	-1099
6642084	-1099
6643356	-1100
6644632	-1101
6645908	-1102
6647184	-1103
6648456	-1103
6649732	-1104
6651008	-1105
6652284	-1106
6653556	-1106
6654832	-1107
6656108	-1108
6657384	-1109
6658656	-1109
6659932	-1110
6661208	-1111
6662484	-1112
6663756	-1112
6665032	-1113
6666308	-1114
6667584	-1115
6668856	-1115
6670132	-1116
6671408	-1117
6672684	-1118
6673956	-1118
6675232	-1119
6676508	-1120
